"","pval1","pval2","pval3","pval4"
"103",2.23054715350871e-81,4.64069949348698e-104,2.021092782204e-101,1.60197774212524e-91
"104",5.12408503909265e-81,3.79588907214256e-104,1.05483056312663e-101,8.98597364813898e-92
"105",9.84510818822225e-81,5.20800648654461e-104,2.30748523983702e-102,7.73838558971889e-92
"106",2.38769754309032e-81,1.09035485574818e-104,6.54743703422931e-103,1.16409750353132e-93
"107",1.38979096842705e-81,6.54404322910296e-105,6.59008442815164e-103,1.18576873616166e-93
"108",1.69561290989207e-81,4.99129295579755e-105,6.8071805575663e-103,1.32821256529981e-93
"109",4.00044186688397e-81,2.69162347974854e-104,3.43597987085028e-102,5.96211288559722e-93
"110",1.23488066737553e-80,1.11446873655135e-103,1.13573472257189e-101,1.21603919577664e-92
"111",1.71776350816814e-80,1.47649166172854e-103,5.78670295402171e-102,1.59879345323595e-92
"112",4.53924368970166e-81,8.09960283480239e-104,5.87662225088287e-102,1.60022349364113e-92
"113",2.24679635116297e-81,2.66371474850664e-105,1.91712433168602e-102,2.56397921373178e-93
"114",1.56595464942909e-81,2.80837065850245e-105,2.15234780331018e-102,2.63633757285674e-93
"115",4.52463823030476e-81,1.45430249849559e-105,1.87594886366783e-102,2.92759943132542e-93
"116",7.69428508676425e-81,2.06694451812423e-105,9.80724523278131e-103,8.59532328751352e-93
"117",1.27709230899284e-80,2.85393672629752e-105,6.89011885019686e-102,3.34892976316232e-92
"118",1.06378534310126e-80,1.54997861586733e-105,3.91409541297346e-102,2.17141645082587e-92
"119",3.83647387930081e-80,3.19905529192222e-106,1.02923335441703e-101,1.75340414479899e-92
"120",8.88410750569776e-80,6.65952561468545e-106,3.37436819336203e-101,4.88711151206669e-92
"121",1.14730552042265e-79,5.48967567279641e-106,2.32647891345148e-101,3.21438614975268e-92
"122",1.12290927058029e-79,4.35132988321512e-106,1.41898515286229e-101,2.84740570667357e-92
"123",4.92733832020159e-79,2.50098328890256e-105,2.63113325455332e-101,9.09526621265277e-92
"124",2.50139474228855e-79,2.03965250148391e-105,3.07111360421466e-101,1.04048732419391e-91
"125",1.30687750087341e-79,8.13104409706211e-106,1.38000417998958e-101,4.38055313641482e-92
"126",1.12121999401599e-79,5.83399165984627e-106,2.90655716356026e-101,1.64661684133839e-92
"127",2.09886982363761e-79,4.47626328608724e-106,3.28182197007126e-101,1.52803229230296e-92
"128",3.04865022517328e-79,6.11485728326286e-106,2.66432236086939e-100,1.28817093554301e-92
"129",7.52749906227147e-79,8.41372587959585e-106,3.55095010312201e-100,4.66846524146734e-93
"130",4.34629110167897e-79,7.01097009437285e-107,6.03690072681285e-101,2.93802823173989e-93
"131",2.88423468129e-79,2.35326626087159e-107,6.17380843403609e-101,2.08509845397337e-93
"132",4.17168584405456e-79,1.49314512631675e-107,4.51716358557943e-101,1.2598155078703e-93
"133",4.02980059392471e-79,1.86865782087686e-107,4.11482747256311e-101,1.76234074141019e-93
"134",3.61338008863008e-79,1.66512721472369e-107,5.27948154280047e-101,1.97453884261213e-93
"135",5.64322515671694e-79,1.52199147310963e-107,4.94067942053128e-101,1.87206953623298e-93
